,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company
201,"$52,720.90","$1,719.60","$150,974.50","$10,210.80",3.3%,1.1%,16.8%,Greenland Holding Group
202,"$52,610.60",$69.4,"$84,608.20","$5,957.30",0.1%,0.1%,1.2%,China National Building Material Group
203,"$52,528.00","$10,459.00","$931,796.00","$90,185.00",19.9%,1.1%,11.6%,Goldman Sachs Group
204,"$52,404.70","$3,419.30","$46,229.10","$20,403.00",6.5%,7.4%,16.8%,Continental
205,"$52,345.20","$3,520.40","$86,133.10","$21,928.50",6.7%,4.1%,16.1%,Vinci
206,"$52,272.00",$-208.9,"$45,172.50",$280,-0.4%,-0.5%,-74.6%,Finatis
207,"$52,004.10",$623.1,"$66,896.40","$15,356.20",1.2%,0.9%,4.1%,Deutsche Bahn
208,"$51,728.00","$6,554.10","$1,840,238.10","$81,814.70",12.7%,0.4%,8%,Sumitomo Mitsui Financial Group
209,"$51,394.40","$1,673.60","$23,140.60","$7,563.40",3.3%,7.2%,22.1%,Alimentation Couche-Tard
210,"$51,245.60",$573,"$43,756.60","$9,385.60",1.1%,1.3%,6.1%,Shandong Energy Group
211,"$51,037.90",$596.3,"$29,988.50","$3,396.50",1.2%,2%,17.6%,Lenovo Group
212,"$50,991.40","$9,164.50","$977,563.40","$67,866.80",18%,0.9%,13.5%,Industrial Bank
213,"$50,920.60",$-77.8,"$63,725.20","$10,247.70",-0.2%,-0.1%,-0.8%,HBIS Group
214,"$50,856.10",$9.5,"$39,334.30","$3,257.70",-,-,0.3%,ThyssenKrupp
215,"$50,545.70","$8,453.00","$916,091.00","$68,683.70",16.7%,0.9%,12.3%,Shanghai Pudong Development Bank
216,"$50,532.40","$-9,281.10","$160,391.20","$69,852.10",-18.4%,-5.8%,-13.3%,Vodafone Group
217,"$50,193.00","$8,748.00","$853,531.00","$80,246.00",17.4%,1%,10.9%,Morgan Stanley
218,"$49,709.70",$6.9,"$29,454.70","$6,618.10",-,-,0.1%,JBS
219,"$49,665.40","$1,969.30","$48,564.80","$8,418.20",4%,4.1%,23.4%,Zhejiang Geely Holding Group
220,"$49,612.30","$4,537.50","$336,888.40","$32,068.60",9.1%,1.3%,14.1%,Banco Bradesco
221,"$49,609.60","$1,738.00","$209,022.70","$14,303.90",3.5%,0.8%,12.2%,MS&AD Insurance Group Holdings
222,"$49,529.30","$3,571.20","$1,456,097.40","$75,659.70",7.2%,0.2%,4.7%,Groupe BPCE
223,"$49,395.70","$2,476.50","$203,590.90","$16,932.20",5%,1.2%,14.6%,Tokio Marine Holdings
224,"$49,330.00",$110,"$108,784.00","$43,204.00",0.2%,0.1%,0.3%,Cisco Systems
225,"$49,300.40",$495.7,"$50,340.00","$20,495.10",1%,1%,2.4%,Saint-Gobain
226,"$49,238.40","$1,050.70","$46,416.20","$24,418.30",2.1%,2.3%,4.3%,Kia Motors
227,"$48,836.50","$2,306.00","$110,404.70","$35,054.70",4.7%,2.1%,6.6%,Orange
228,"$48,650.00","$2,637.00","$153,226.00","$41,028.00",5.4%,1.7%,6.4%,Cigna
229,"$48,368.00","$2,295.60","$52,339.50","$32,490.20",4.7%,4.4%,7.1%,Denso
230,"$48,155.70","$2,890.90","$71,532.70","$25,042.80",6%,4%,11.5%,Sumitomo
231,"$47,981.30","$7,608.40","$873,155.30","$61,184.40",15.9%,0.9%,12.4%,China Minsheng Banking
232,"$47,842.10","$1,335.70","$17,402.30","$7,742.30",2.8%,7.7%,17.3%,Woolworths Group
233,"$47,608.00","$6,283.20","$773,455.50","$53,846.70",13.2%,0.8%,11.7%,Banco Bilbao Vizcaya Argentaria
234,"$47,389.00",$-6,"$491,984.00","$56,361.00",-,-,-,American International Group
235,"$47,286.00",$328.8,"$561,369.60","$33,853.60",0.7%,0.1%,1%,State Bank of India
236,"$47,272.70","$11,900.60","$105,382.00","$47,119.70",25.2%,11.3%,25.3%,Tencent Holdings
237,"$47,180.00","$3,716.00","$395,342.00","$30,189.00",7.9%,0.9%,12.3%,Zurich Insurance Group
238,"$46,969.50",$315.1,"$1,540,920.60","$71,431.80",0.7%,-,0.4%,Deutsche Bank
239,"$46,718.10","$2,000.40","$144,343.80","$52,551.70",4.3%,1.4%,3.8%,Bayer
240,"$46,677.00","$3,787.00","$39,207.00","$-4,950.00",8.1%,9.7%,-,HCA Healthcare
241,"$46,207.10","$1,495.90","$158,364.30","$10,773.60",3.2%,0.9%,13.9%,China Poly Group
242,"$46,114.40",$930.2,"$73,372.60","$20,844.00",2%,1.3%,4.5%,China Shipbuilding Industry
243,"$45,925.70","$4,468.70","$203,620.60","$46,044.20",9.7%,2.2%,9.7%,China Merchants Group
244,"$45,820.80","$5,570.90","$66,236.70","$37,801.50",12.2%,8.4%,14.7%,KDDI
245,"$45,809.00","$3,705.00","$111,993.00","$55,592.00",8.1%,3.3%,6.7%,BHP Group
246,"$45,743.00",$267,"$19,425.00","$6,173.00",0.6%,1.4%,4.3%,Bunge
247,"$45,461.30","$1,612.90","$474,944.30","$20,323.20",3.5%,0.3%,7.9%,CNP Assurances
